Date,NDWI,MNDWI,AWEIsh
2/18/2008,2547.547287,2588.826264,2731.163531
4/6/2008,6146.250649,6272.328579,6254.173042
4/15/2008,7386.540834,7557.36275,7485.661537
5/17/2008,4148.243086,5303.986793,4702.303871
6/25/2008,1515.778208,1838.432144,1755.23878
7/11/2008,1007.027231,1580.756108,1646.704293
7/20/2008,798.914599,1641.149539,1534.748569
8/5/2008,1318.548494,1628.927811,1520.271115
8/12/2008,1417.266031,1667.176082,1542.001578
8/28/2008,1236.280288,1668.401603,1504.23244
9/22/2008,1449.831092,1661.554891,1556.641622
10/8/2008,1420.284116,1488.529562,1469.310758
11/16/2008,1482.786862,1373.536493,1461.379186
11/25/2008,1168.082859,1085.387344,1164.090946
12/2/2008,1442.097145,1350.476448,1453.773832
2/4/2009,978.2794247,1077.130951,1062.615711
2/20/2009,1776.714568,1696.959865,1726.23619
3/17/2009,1470.61239,1427.251072,1442.261992
5/20/2009,1526.891894,1634.503901,1574.880134
6/5/2009,1518.702025,1791.465013,1634.448252
6/21/2009,1862.195149,2532.12218,2179.439168
6/28/2009,1163.569699,1717.387418,1596.936541
7/7/2009,1410.382392,1594.807959,1550.742156
8/8/2009,985.2456538,1421.840325,1473.10306
8/15/2009,1429.727028,1624.388243,1528.179861
10/2/2009,1392.314834,1450.770989,1415.634022
10/11/2009,1394.507212,1765.316726,1681.303848
10/18/2009,1490.922493,1470.242567,1509.382273
11/3/2009,4630.281895,4776.521506,4774.408843
11/12/2009,3953.618486,3957.878348,4088.96743
11/28/2009,2961.440431,2790.054382,3019.045141
12/5/2009,1869.066227,1801.264249,1888.836181
2/23/2010,1509.457712,1461.763097,1474.26435
3/4/2010,1527.075866,1447.289896,1485.452449
3/11/2010,1560.454143,1515.024729,1523.810599
4/12/2010,1456.227655,1452.703239,1446.986523
5/7/2010,1439.733121,1664.998706,1546.894254
7/1/2010,1441.955838,1615.154269,1530.005883
8/11/2010,1403.934165,1614.706655,1521.834467
8/27/2010,1471.967942,1570.867378,1527.379269
9/12/2010,1563.898369,1671.422421,1623.297137
10/5/2010,1388.302793,1375.482547,1401.11648
10/14/2010,1413.176681,1437.062628,1429.603786
10/21/2010,1388.560876,1381.938427,1395.000424
10/30/2010,1429.604533,1387.853899,1429.942929
11/6/2010,1411.008876,1367.731384,1396.241187
12/1/2010,1560.944786,1480.234122,1573.038425
12/8/2010,1425.979481,1356.896273,1433.212623
1/2/2011,1474.675751,1312.773218,1474.960973
2/3/2011,1457.5163,1466.520122,1499.053817
2/10/2011,1346.906641,1427.949948,1387.94079
5/17/2011,4399.33782,5919.075748,5082.621545
6/11/2011,1203.808527,4656.064279,4007.936291
7/20/2011,1190.031032,1741.391522,1631.176487
8/14/2011,1266.922609,1445.058595,1385.52131
8/21/2011,1430.836592,1614.485432,1534.870616
9/6/2011,1513.957911,1622.491759,1557.897644
9/15/2011,1247.17536,1550.662614,1469.256971
10/1/2011,1421.63499,1439.737493,1446.648426
10/8/2011,1396.41394,1448.579799,1426.361847
10/24/2011,1391.23,1412.956169,1406.701402
6/5/2012,862.0608147,955.4009357,904.0836628
6/28/2012,1036.607821,1253.591354,1167.571025
7/7/2012,516.9696861,958.8795714,897.4150609
7/23/2012,804.6942974,928.9305047,869.3990207
8/8/2012,885.4078582,959.7800712,923.4240515
8/15/2012,1168.240536,1290.846961,1221.591338
9/9/2012,897.4145628,1020.506578,947.4980702
10/2/2012,1113.089726,1185.800699,1148.800345
10/18/2012,1125.239509,1166.437514,1144.025221
10/27/2012,797.4656664,798.8574019,809.8328435
11/3/2012,1142.228936,1162.898896,1161.476752
11/12/2012,858.0551818,896.0627689,889.9013741
11/28/2012,908.7546131,910.0189922,927.8280945
12/5/2012,1128.787195,1048.578497,1142.469277
12/21/2012,1104.010453,1052.260091,1100.577551
2/16/2013,987.8448869,956.1845572,974.5098594
2/23/2013,1177.145374,1240.950512,1222.12372
4/5/2013,934.5646755,920.9566422,930.1263129
4/13/2013,1638.61087,1569.275393,1589.860835
4/29/2013,2380.165437,2438.579134,2400.815614
5/14/2013,1448.849492,2009.787991,1806.395771
5/15/2013,2363.597634,2657.193942,2527.82296
6/23/2013,765.3347814,1472.85307,1098.894815
